origin_zone_id,destination_zone_id,origin_state,destination_state,origin_zone_name,destination_zone_name,annual_total_trips,mode_air,mode_rail,mode_vehicle,mode_atf,purpose_work,purpose_nonwork,zone_id_x,o_x,o_y,zone_id_y,d_x,d_y
45220_FL,RFL3_FL,FL,FL,"Tallahassee, FL",FL-NonMSA areas (N),1354326,22,0,1337015,17289,425937,928389,45220_FL,-84.28617320304492,30.405015607103945,RFL3_FL,-82.90060820349375,29.93639244596677
45300_FL,27260_FL,FL,FL,"Tampa-St. Petersburg-Clearwater, FL","Jacksonville, FL",1330418,17478,17342,1295598,0,489564,840854,45300_FL,-82.40586985987241,28.153686028277587,27260_FL,-81.79206235996922,30.236720801974084
33100_FL,35840_FL,FL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL","North Port-Sarasota-Bradenton, FL",1309438,127235,0,1182203,0,473449,835989,33100_FL,-80.62676908164782,25.989057353585206,35840_FL,-82.32229910658704,27.347870492975634
33100_FL,29460_FL,FL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL","Lakeland-Winter Haven, FL",1303299,56430,23330,1223539,0,476963,826336,33100_FL,-80.62676908164782,25.989057353585206,29460_FL,-81.69757651030494,27.94888002560678
36100_FL,45300_FL,FL,FL,"Ocala, FL","Tampa-St. Petersburg-Clearwater, FL",1294963,245,0,1291794,2924,406741,888222,36100_FL,-82.05665142074832,29.210207671595246,45300_FL,-82.40586985987241,28.153686028277587
19660_FL,RFL3_FL,FL,FL,"Deltona-Daytona Beach-Ormond Beach, FL",FL-NonMSA areas (N),1288042,167,818,1267808,19249,405057,882985,19660_FL,-81.21968990110504,29.17404141035394,RFL3_FL,-82.90060820349375,29.93639244596677
29460_FL,33100_FL,FL,FL,"Lakeland-Winter Haven, FL","Miami-Fort Lauderdale-West Palm Beach, FL",1275239,49597,51055,1174587,0,442576,832663,29460_FL,-81.69757651030494,27.94888002560678,33100_FL,-80.62676908164782,25.989057353585206
33100_FL,37340_FL,FL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL","Palm Bay-Melbourne-Titusville, FL",1270337,19174,0,1251163,0,456852,813485,33100_FL,-80.62676908164782,25.989057353585206,37340_FL,-80.73227532489604,28.293692647230113
38940_FL,36740_FL,FL,FL,"Port St. Lucie, FL","Orlando-Kissimmee-Sanford, FL",1198956,1814,0,1197008,134,368660,830296,38940_FL,-80.45072430974419,27.219835127149576,36740_FL,-81.36300157579336,28.43433057854205
36740_FL,35840_FL,FL,FL,"Orlando-Kissimmee-Sanford, FL","North Port-Sarasota-Bradenton, FL",1197776,1803,0,1195973,0,402776,795000,36740_FL,-81.36300157579336,28.43433057854205,35840_FL,-82.32229910658704,27.347870492975634
29460_FL,35840_FL,FL,FL,"Lakeland-Winter Haven, FL","North Port-Sarasota-Bradenton, FL",1179236,3,0,1174957,4276,372472,806764,29460_FL,-81.69757651030494,27.94888002560678,35840_FL,-82.32229910658704,27.347870492975634
35840_FL,33100_FL,FL,FL,"North Port-Sarasota-Bradenton, FL","Miami-Fort Lauderdale-West Palm Beach, FL",1178631,61730,0,1116901,0,417014,761617,35840_FL,-82.32229910658704,27.347870492975634,33100_FL,-80.62676908164782,25.989057353585206
37340_FL,33100_FL,FL,FL,"Palm Bay-Melbourne-Titusville, FL","Miami-Fort Lauderdale-West Palm Beach, FL",1173441,16654,0,1156787,0,409810,763631,37340_FL,-80.73227532489604,28.293692647230113,33100_FL,-80.62676908164782,25.989057353585206
RFL1_FL,34940_FL,FL,FL,FL-NonMSA areas (Central),"Naples-Immokalee-Marco Island, FL",1162245,1,0,1142153,20091,403800,758445,RFL1_FL,-81.30380393571672,27.047978462601378,34940_FL,-81.34758798839782,26.110727879457404
26140_FL,36740_FL,FL,FL,"Homosassa Springs, FL","Orlando-Kissimmee-Sanford, FL",1151765,24,0,1132413,19328,357162,794603,26140_FL,-82.47939650321318,28.84890754313061,36740_FL,-81.36300157579336,28.43433057854205
